"","","P","W","D","L","F","A","+/-","Pts"
"1","Liverpool","19","11","5","3","44","25","+19","38"
"2","Arsenal","19","9","8","2","34","17","+17","35"
"3","Nottingham Forest","19","10","3","6","32","30","+2","33"
"4","Manchester City","19","8","5","6","29","21","+8","29"
"5","Brighton & Hove Albion","19","8","5","6","36","33","+3","29"
"6","AFC Bournemouth","19","7","7","5","35","30","+5","28"
"7","Chelsea","19","8","4","7","29","25","+4","28"
"8","Fulham","19","8","4","7","27","24","+3","28"
"9","Crystal Palace","19","7","7","5","27","25","+2","28"
"10","Newcastle United","19","8","4","7","28","27","+1","28"
"11","Aston Villa","19","8","2","9","24","31","-7","26"
"12","Brentford","19","7","4","8","26","22","+4","25"
"13","Everton","19","6","6","7","16","21","-5","24"
"14","West Ham United","19","6","5","8","23","28","-5","23"
"15","Wolverhampton Wanderers","19","6","3","10","27","37","-10","21"
"16","Manchester United","19","4","6","9","21","26","-5","18"
"17","Tottenham Hotspur","19","5","2","12","29","30","-1","17"
"18","Ipswich Town","19","3","6","10","22","38","-16","15"
"19","Leicester City","19","2","4","13","18","46","-28","10"
"20","Southampton","19","1","3","15","13","39","-26","6"
