"","","P","W","D","L","F","A","+/-","Pts"
"1","Manchester City","19","14","4","1","41","11","+30","46"
"2","Liverpool","19","13","4","2","45","17","+28","43"
"3","Chelsea","19","12","4","3","39","11","+28","40"
"4","Tottenham Hotspur","19","9","4","6","31","21","+10","31"
"5","Brighton & Hove Albion","19","7","8","4","23","21","+2","29"
"6","Arsenal","19","9","1","9","26","31","-5","28"
"7","Wolverhampton Wanderers","19","8","3","8","18","18","0","27"
"8","West Ham United","19","7","3","9","27","25","+2","24"
"9","Manchester United","19","6","5","8","25","35","-10","23"
"10","Aston Villa","19","7","1","11","23","25","-2","22"
"11","Brentford","19","6","4","9","26","35","-9","22"
"12","Leeds United","19","5","5","9","23","41","-18","20"
"13","Crystal Palace","19","4","7","8","23","29","-6","19"
"14","Newcastle United","19","5","4","10","18","35","-17","19"
"15","Leicester City","19","4","6","9","28","36","-8","18"
"16","Watford","19","4","3","12","17","31","-14","15"
"17","Southampton","19","3","6","10","20","43","-23","15"
"18","Burnley","19","2","8","9","16","28","-12","14"
"19","Everton","19","2","4","13","16","41","-25","10"
"20","Norwich City","19","2","4","13","11","41","-30","10"
